clk:1, instr:xxxxxxxx, incoming_address: xxxxxxxx, selected_address: xxxxxxxx, IR_write: 0, opcode: xx, pc:xxxxxxxx, alu_out:xxxxxxxx, alu_result:xxxxxxxx, PC_next:xxxxxxxx, SrcA:xxxxxxxx, SrcB:xxxxxxxx, SrcA_crtl:x, SrcB_crtl:0 alu_ctrl:0, reg_write:0, pc_write:0,
clk:1, instr:00000000, incoming_address: fedcc0b7, selected_address: 00001000, IR_write: 1, opcode: 00, pc:00001000, alu_out:00000000, alu_result:00001004, PC_next:00001004, SrcA:00001000, SrcB:00000004, SrcA_crtl:0, SrcB_crtl:2 alu_ctrl:0, reg_write:0, pc_write:1,
clk:1, instr:fedcc0b7, incoming_address: a9808093, selected_address: 00001004, IR_write: 0, opcode: 37, pc:00001004, alu_out:00001004, alu_result:fedcc000, PC_next:00001004, SrcA:00000000, SrcB:fedcc000, SrcA_crtl:2, SrcB_crtl:1 alu_ctrl:0, reg_write:0, pc_write:0,
clk:1, instr:fedcc0b7, incoming_address: a9808093, selected_address: 00001004, IR_write: 0, opcode: 37, pc:00001004, alu_out:fedcc000, alu_result:fedcc000, PC_next:fedcc000, SrcA:00000000, SrcB:fedcc000, SrcA_crtl:2, SrcB_crtl:1 alu_ctrl:0, reg_write:0, pc_write:0,
clk:1, instr:fedcc0b7, incoming_address: a9808093, selected_address: 00001004, IR_write: 0, opcode: 37, pc:00001004, alu_out:fedcc000, alu_result:xxxxxxxx, PC_next:fedcc000, SrcA:0000X00X, SrcB:00000000, SrcA_crtl:x, SrcB_crtl:0 alu_ctrl:0, reg_write:1, pc_write:0,
clk:1, instr:fedcc0b7, incoming_address: a9808093, selected_address: 00001004, IR_write: 1, opcode: 37, pc:00001004, alu_out:xxxxxxxx, alu_result:00001008, PC_next:00001008, SrcA:00001004, SrcB:00000004, SrcA_crtl:0, SrcB_crtl:2 alu_ctrl:0, reg_write:0, pc_write:1,
clk:1, instr:a9808093, incoming_address: 0040d113, selected_address: 00001008, IR_write: 0, opcode: 13, pc:00001008, alu_out:00001008, alu_result:fffffa98, PC_next:00001008, SrcA:00000000, SrcB:fffffa98, SrcA_crtl:2, SrcB_crtl:1 alu_ctrl:0, reg_write:0, pc_write:0,
clk:1, instr:a9808093, incoming_address: 0040d113, selected_address: 00001008, IR_write: 0, opcode: 13, pc:00001008, alu_out:fffffa98, alu_result:fedcba98, PC_next:fffffa98, SrcA:fedcc000, SrcB:fffffa98, SrcA_crtl:2, SrcB_crtl:1 alu_ctrl:0, reg_write:0, pc_write:0,
clk:1, instr:a9808093, incoming_address: 0040d113, selected_address: 00001008, IR_write: 0, opcode: 13, pc:00001008, alu_out:fedcba98, alu_result:xxxxxxxx, PC_next:fedcba98, SrcA:xXXXX00X, SrcB:00000000, SrcA_crtl:x, SrcB_crtl:0 alu_ctrl:0, reg_write:1, pc_write:0,
clk:1, instr:a9808093, incoming_address: 0040d113, selected_address: 00001008, IR_write: 1, opcode: 13, pc:00001008, alu_out:xxxxxxxx, alu_result:0000100c, PC_next:0000100c, SrcA:00001008, SrcB:00000004, SrcA_crtl:0, SrcB_crtl:2 alu_ctrl:0, reg_write:0, pc_write:1,
clk:1, instr:0040d113, incoming_address: 4040d193, selected_address: 0000100c, IR_write: 0, opcode: 13, pc:0000100c, alu_out:0000100c, alu_result:fedcba9c, PC_next:0000100c, SrcA:fedcba98, SrcB:00000004, SrcA_crtl:2, SrcB_crtl:1 alu_ctrl:0, reg_write:0, pc_write:0,
clk:1, instr:0040d113, incoming_address: 4040d193, selected_address: 0000100c, IR_write: 0, opcode: 13, pc:0000100c, alu_out:fedcba9c, alu_result:0fedcba9, PC_next:fedcba9c, SrcA:fedcba98, SrcB:00000004, SrcA_crtl:2, SrcB_crtl:1 alu_ctrl:8, reg_write:0, pc_write:0,
clk:1, instr:0040d113, incoming_address: 4040d193, selected_address: 0000100c, IR_write: 0, opcode: 13, pc:0000100c, alu_out:0fedcba9, alu_result:xxxxxxxx, PC_next:0fedcba9, SrcA:xXXXXXXX, SrcB:00000000, SrcA_crtl:x, SrcB_crtl:0 alu_ctrl:0, reg_write:1, pc_write:0,
clk:1, instr:0040d113, incoming_address: 4040d193, selected_address: 0000100c, IR_write: 1, opcode: 13, pc:0000100c, alu_out:xxxxxxxx, alu_result:00001010, PC_next:00001010, SrcA:0000100c, SrcB:00000004, SrcA_crtl:0, SrcB_crtl:2 alu_ctrl:0, reg_write:0, pc_write:1,
clk:1, instr:4040d193, incoming_address: fff1c213, selected_address: 00001010, IR_write: 0, opcode: 13, pc:00001010, alu_out:00001010, alu_result:fedcbe9c, PC_next:00001010, SrcA:fedcba98, SrcB:00000404, SrcA_crtl:2, SrcB_crtl:1 alu_ctrl:0, reg_write:0, pc_write:0,
